AA, PHX, ELP, 20200325, 0, 0, 80, 0
AA, PHX, ELP, 20200326, 0, 0, 80, 0
AA, PHX, ELP, 20200327, 0, 0, 80, 68
AA, PHX, ELP, 20200329, 0, 0, 80, 0
AA, PHX, ELP, 20200330, 0, 0, 80, 0
AA, PHX, ELP, 20200331, 0, 0, 80, 0
AA, PHX, ELP, 20200307, 0, 0, 80, 78
AA, PHX, ELP, 20200314, 0, 0, 80, 78
AA, PHX, ELP, 20200321, 0, 0, 80, 76
AA, PHX, ELP, 20200328, 0, 0, 80, 71
AA, DFW, ELP, 20200303, 0, 0, 114, 104
AA, DFW, ELP, 20200301, 0, 0, 121, 108
AA, DFW, ELP, 20200302, 0, 0, 121, 117
AA, DFW, ELP, 20200303, 0, 0, 121, 128
AA, DFW, ELP, 20200304, 0, 0, 121, 97
AA, DFW, ELP, 20200305, 0, 0, 113, 106
AA, DFW, ELP, 20200306, 0, 0, 113, 115
AA, DFW, ELP, 20200307, 0, 0, 113, 105
AA, DFW, ELP, 20200308, 0, 0, 113, 106
AA, DFW, ELP, 20200309, 0, 0, 113, 110
AA, DFW, ELP, 20200310, 0, 0, 113, 118
AA, DFW, ELP, 20200311, 0, 0, 113, 110
AA, DFW, ELP, 20200312, 0, 0, 113, 110
AA, DFW, ELP, 20200313, 0, 0, 113, 111
AA, DFW, ELP, 20200314, 0, 0, 113, 110
AA, DFW, ELP, 20200315, 0, 0, 113, 126
AA, DFW, ELP, 20200316, 0, 0, 113, 107
AA, DFW, ELP, 20200317, 0, 0, 113, 107
AA, DFW, ELP, 20200318, 0, 0, 113, 132
AA, DFW, ELP, 20200319, 0, 0, 113, 110
AA, DFW, ELP, 20200320, 0, 0, 113, 115
AA, DFW, ELP, 20200321, 0, 0, 113, 113
AA, DFW, ELP, 20200322, 0, 0, 113, 105
AA, DFW, ELP, 20200323, 0, 0, 113, 109
AA, DFW, ELP, 20200324, 0, 0, 113, 115
AA, DFW, ELP, 20200325, 0, 0, 113, 0
AA, DFW, ELP, 20200326, 0, 0, 113, 99
AA, DFW, ELP, 20200327, 0, 0, 113, 0
AA, DFW, ELP, 20200328, 0, 0, 113, 0
AA, DFW, ELP, 20200329, 0, 0, 113, 131
AA, DFW, ELP, 20200330, 0, 0, 113, 117
AA, DFW, ELP, 20200331, 0, 0, 113, 0
AA, DFW, ELP, 20200301, 0, 0, 119, 128
AA, DFW, ELP, 20200302, 0, 0, 119, 120
AA, DFW, ELP, 20200303, 0, 0, 119, 308
AA, DFW, ELP, 20200304, 0, 0, 119, 99
AA, DFW, ELP, 20200305, 0, 0, 111, 105
AA, DFW, ELP, 20200306, 0, 0, 111, 106
AA, DFW, ELP, 20200307, 0, 0, 111, 98
AA, DFW, ELP, 20200308, 0, 0, 111, 106
AA, DFW, ELP, 20200309, 0, 0, 111, 113
AA, DFW, ELP, 20200310, 0, 0, 111, 105
AA, DFW, ELP, 20200311, 0, 0, 111, 103
AA, DFW, ELP, 20200312, 0, 0, 111, 107
AA, DFW, ELP, 20200313, 0, 0, 111, 108
AA, DFW, ELP, 20200314, 0, 0, 111, 112
AA, DFW, ELP, 20200315, 0, 0, 111, 102
AA, DFW, ELP, 20200316, 0, 0, 111, 0
AA, DFW, ELP, 20200317, 0, 0, 111, 107
AA, DFW, ELP, 20200318, 0, 0, 111, 98
AA, DFW, ELP, 20200319, 0, 0, 111, 136
AA, DFW, ELP, 20200320, 0, 0, 111, 105
AA, DFW, ELP, 20200321, 0, 0, 111, 105
AA, DFW, ELP, 20200322, 0, 0, 111, 103
AA, DFW, ELP, 20200323, 0, 0, 111, 0
AA, DFW, ELP, 20200324, 0, 0, 111, 0
AA, DFW, ELP, 20200325, 0, 0, 111, 0
AA, DFW, ELP, 20200326, 0, 0, 111, 0
AA, DFW, ELP, 20200327, 0, 0, 111, 105
AA, DFW, ELP, 20200328, 0, 0, 111, 108
AA, DFW, ELP, 20200329, 0, 0, 111, 124
AA, DFW, ELP, 20200330, 0, 0, 111, 111
AA, DFW, ELP, 20200331, 0, 0, 111, 0
UA, DEN, ELP, 20200331, 0, 0, 118, 110
UA, DEN, ELP, 20200331, 0, 0, 118, 0
UA, DEN, ELP, 20200331, 0, 0, 118, 0
UA, DEN, ELP, 20200330, 0, 0, 118, 0
UA, DEN, ELP, 20200330, 0, 0, 115, 110
UA, DEN, ELP, 20200330, 0, 0, 118, 0
UA, DEN, ELP, 20200329, 0, 0, 118, 112
UA, DEN, ELP, 20200329, 0, 0, 115, 123
UA, DEN, ELP, 20200329, 0, 0, 118, 0
UA, DEN, ELP, 20200328, 0, 0, 118, 95
UA, DEN, ELP, 20200328, 0, 0, 118, 99
UA, DEN, ELP, 20200327, 0, 0, 119, 122
UA, DEN, ELP, 20200327, 0, 0, 115, 0
UA, DEN, ELP, 20200326, 0, 0, 119, 125
UA, DEN, ELP, 20200326, 0, 0, 115, 113
UA, DEN, ELP, 20200325, 0, 0, 119, 0
UA, DEN, ELP, 20200325, 0, 0, 118, 0
UA, DEN, ELP, 20200324, 0, 0, 119, 112
UA, DEN, ELP, 20200324, 0, 0, 115, 0
UA, DEN, ELP, 20200323, 0, 0, 119, 0
UA, DEN, ELP, 20200323, 0, 0, 115, 0
UA, DEN, ELP, 20200306, 0, 0, 119, 133
UA, DEN, ELP, 20200306, 0, 0, 115, 111
UA, DEN, ELP, 20200305, 0, 0, 119, 98
UA, DEN, ELP, 20200305, 0, 0, 115, 105
UA, DEN, ELP, 20200304, 0, 0, 124, 113
UA, DEN, ELP, 20200303, 0, 0, 124, 118
UA, DEN, ELP, 20200302, 0, 0, 124, 136
UA, DEN, ELP, 20200301, 0, 0, 124, 141
UA, DEN, ELP, 20200322, 0, 0, 118, 0
UA, DEN, ELP, 20200321, 0, 0, 118, 116
UA, DEN, ELP, 20200321, 0, 0, 118, 122
UA, DEN, ELP, 20200320, 0, 0, 119, 122
UA, DEN, ELP, 20200320, 0, 0, 115, 131
UA, DEN, ELP, 20200319, 0, 0, 119, 0
UA, DEN, ELP, 20200319, 0, 0, 115, 0
UA, DEN, ELP, 20200318, 0, 0, 119, 125
UA, DEN, ELP, 20200318, 0, 0, 118, 119
UA, DEN, ELP, 20200317, 0, 0, 119, 124
UA, DEN, ELP, 20200317, 0, 0, 115, 107
UA, DEN, ELP, 20200316, 0, 0, 119, 107
UA, DEN, ELP, 20200316, 0, 0, 115, 108
UA, DEN, ELP, 20200315, 0, 0, 118, 120
UA, DEN, ELP, 20200314, 0, 0, 118, 107
UA, DEN, ELP, 20200313, 0, 0, 119, 118
UA, DEN, ELP, 20200313, 0, 0, 115, 130
UA, DEN, ELP, 20200312, 0, 0, 119, 114
UA, DEN, ELP, 20200312, 0, 0, 115, 118
UA, DEN, ELP, 20200311, 0, 0, 119, 106
UA, DEN, ELP, 20200311, 0, 0, 118, 106
UA, DEN, ELP, 20200310, 0, 0, 119, 118
UA, DEN, ELP, 20200310, 0, 0, 115, 108
UA, DEN, ELP, 20200309, 0, 0, 119, 111
UA, DEN, ELP, 20200309, 0, 0, 115, 108
UA, DEN, ELP, 20200308, 0, 0, 115, 112
UA, DEN, ELP, 20200307, 0, 0, 118, 105
UA, DEN, ELP, 20200307, 0, 0, 118, 101
AA, LAX, ELP, 20200301, 0, 0, 114, 107
AA, LAX, ELP, 20200302, 0, 0, 114, 110
AA, LAX, ELP, 20200303, 0, 0, 114, 113
AA, LAX, ELP, 20200304, 0, 0, 114, 109
AA, LAX, ELP, 20200305, 0, 0, 114, 125
AA, LAX, ELP, 20200306, 0, 0, 114, 115
AA, LAX, ELP, 20200307, 0, 0, 114, 102
AA, LAX, ELP, 20200308, 0, 0, 114, 112
AA, LAX, ELP, 20200309, 0, 0, 114, 100
AA, LAX, ELP, 20200310, 0, 0, 114, 119
AA, LAX, ELP, 20200311, 0, 0, 114, 100
AA, LAX, ELP, 20200312, 0, 0, 114, 116
AA, LAX, ELP, 20200313, 0, 0, 114, 106
AA, LAX, ELP, 20200314, 0, 0, 114, 103
AA, LAX, ELP, 20200315, 0, 0, 114, 105
AA, LAX, ELP, 20200316, 0, 0, 114, 111
AA, LAX, ELP, 20200317, 0, 0, 114, 105
AA, LAX, ELP, 20200318, 0, 0, 114, 112
AA, LAX, ELP, 20200319, 0, 0, 114, 107
AA, LAX, ELP, 20200320, 0, 0, 114, 98
AA, LAX, ELP, 20200321, 0, 0, 114, 98
AA, LAX, ELP, 20200322, 0, 0, 114, 102
AA, LAX, ELP, 20200323, 0, 0, 114, 99
AA, LAX, ELP, 20200324, 0, 0, 114, 105
AA, LAX, ELP, 20200325, 0, 0, 114, 105
AA, LAX, ELP, 20200326, 0, 0, 114, 104
AA, LAX, ELP, 20200327, 0, 0, 114, 105
