AA, DFW, ELP, 20200725, 0, 0, 100, 100
AA, DFW, ELP, 20200707, 0, 0, 96, 98
AA, DFW, ELP, 20200708, 0, 0, 96, 92
AA, DFW, ELP, 20200709, 0, 0, 96, 103
AA, DFW, ELP, 20200710, 0, 0, 96, 100
AA, DFW, ELP, 20200711, 0, 0, 96, 93
AA, DFW, ELP, 20200712, 0, 0, 96, 101
AA, DFW, ELP, 20200713, 0, 0, 96, 100
AA, DFW, ELP, 20200714, 0, 0, 96, 94
AA, DFW, ELP, 20200715, 0, 0, 96, 95
AA, DFW, ELP, 20200716, 0, 0, 96, 98
AA, DFW, ELP, 20200717, 0, 0, 96, 111
AA, DFW, ELP, 20200718, 0, 0, 96, 98
AA, DFW, ELP, 20200719, 0, 0, 96, 97
AA, DFW, ELP, 20200720, 0, 0, 96, 112
AA, DFW, ELP, 20200721, 0, 0, 96, 117
AA, DFW, ELP, 20200722, 0, 0, 96, 100
AA, DFW, ELP, 20200723, 0, 0, 96, 87
AA, DFW, ELP, 20200724, 0, 0, 96, 94
AA, DFW, ELP, 20200725, 0, 0, 96, 96
AA, DFW, ELP, 20200726, 0, 0, 96, 103
AA, DFW, ELP, 20200727, 0, 0, 96, 90
AA, DFW, ELP, 20200728, 0, 0, 96, 97
AA, DFW, ELP, 20200729, 0, 0, 96, 101
AA, DFW, ELP, 20200730, 0, 0, 96, 100
AA, DFW, ELP, 20200731, 0, 0, 96, 118
AA, ORD, ELP, 20200709, 0, 0, 191, 223
AA, ORD, ELP, 20200710, 0, 0, 191, 205
AA, ORD, ELP, 20200712, 0, 0, 191, 179
AA, ORD, ELP, 20200713, 0, 0, 191, 184
AA, ORD, ELP, 20200716, 0, 0, 191, 180
AA, ORD, ELP, 20200717, 0, 0, 191, 186
AA, ORD, ELP, 20200719, 0, 0, 191, 198
AA, ORD, ELP, 20200720, 0, 0, 191, 198
AA, ORD, ELP, 20200723, 0, 0, 191, 194
AA, ORD, ELP, 20200724, 0, 0, 191, 178
AA, ORD, ELP, 20200726, 0, 0, 191, 215
AA, ORD, ELP, 20200727, 0, 0, 191, 191
AA, ORD, ELP, 20200730, 0, 0, 191, 174
AA, ORD, ELP, 20200731, 0, 0, 191, 180
AA, ORD, ELP, 20200702, 0, 0, 189, 199
AA, ORD, ELP, 20200703, 0, 0, 189, 185
AA, ORD, ELP, 20200705, 0, 0, 189, 178
AA, ORD, ELP, 20200706, 0, 0, 189, 176
AA, ORD, ELP, 20200707, 0, 0, 195, 172
AA, ORD, ELP, 20200708, 0, 0, 195, 188
AA, ORD, ELP, 20200709, 0, 0, 195, 183
AA, ORD, ELP, 20200710, 0, 0, 195, 169
AA, ORD, ELP, 20200711, 0, 0, 194, 195
AA, ORD, ELP, 20200712, 0, 0, 195, 188
AA, ORD, ELP, 20200713, 0, 0, 195, 200
AA, ORD, ELP, 20200714, 0, 0, 195, 178
AA, ORD, ELP, 20200715, 0, 0, 195, 185
AA, ORD, ELP, 20200716, 0, 0, 195, 192
AA, ORD, ELP, 20200717, 0, 0, 195, 177
AA, ORD, ELP, 20200718, 0, 0, 194, 196
AA, ORD, ELP, 20200719, 0, 0, 195, 198
AA, ORD, ELP, 20200720, 0, 0, 195, 205
AA, ORD, ELP, 20200721, 0, 0, 195, 194
AA, ORD, ELP, 20200722, 0, 0, 195, 172
AA, ORD, ELP, 20200723, 0, 0, 195, 196
AA, ORD, ELP, 20200724, 0, 0, 195, 182
AA, ORD, ELP, 20200725, 0, 0, 194, 164
AA, ORD, ELP, 20200726, 0, 0, 195, 186
AA, ORD, ELP, 20200727, 0, 0, 195, 182
AA, ORD, ELP, 20200728, 0, 0, 195, 176
AA, ORD, ELP, 20200729, 0, 0, 195, 201
AA, ORD, ELP, 20200730, 0, 0, 195, 177
AA, ORD, ELP, 20200731, 0, 0, 195, 188
AA, DFW, ELP, 20200701, 0, 0, 102, 104
AA, DFW, ELP, 20200701, 0, 0, 101, 112
AA, PHX, ELP, 20200701, 0, 0, 76, 68
AA, DFW, ELP, 20200702, 0, 0, 102, 105
AA, DFW, ELP, 20200702, 0, 0, 101, 100
AA, PHX, ELP, 20200702, 0, 0, 76, 80
AA, DFW, ELP, 20200703, 0, 0, 102, 95
AA, DFW, ELP, 20200703, 0, 0, 101, 100
AA, PHX, ELP, 20200703, 0, 0, 76, 75
AA, DFW, ELP, 20200704, 0, 0, 102, 94
AA, DFW, ELP, 20200704, 0, 0, 101, 102
AA, PHX, ELP, 20200704, 0, 0, 76, 70
AA, DFW, ELP, 20200705, 0, 0, 102, 100
AA, DFW, ELP, 20200705, 0, 0, 101, 104
AA, PHX, ELP, 20200705, 0, 0, 76, 75
AA, DFW, ELP, 20200706, 0, 0, 102, 99
AA, DFW, ELP, 20200706, 0, 0, 101, 93
AA, PHX, ELP, 20200706, 0, 0, 76, 77
AA, PHX, ELP, 20200730, 0, 0, 86, 78
AA, PHX, ELP, 20200731, 0, 0, 86, 74
AS, SEA, ELP, 20200701, 0, 0, 205, 191
AS, SEA, ELP, 20200702, 0, 0, 205, 200
AS, SEA, ELP, 20200703, 0, 0, 205, 208
AS, SEA, ELP, 20200704, 0, 0, 205, 198
AS, SEA, ELP, 20200705, 0, 0, 205, 197
AS, SEA, ELP, 20200706, 0, 0, 205, 196
AS, SEA, ELP, 20200707, 0, 0, 205, 191
AS, SEA, ELP, 20200708, 0, 0, 205, 190
AS, SEA, ELP, 20200709, 0, 0, 205, 186
AS, SEA, ELP, 20200710, 0, 0, 205, 193
AS, SEA, ELP, 20200711, 0, 0, 205, 199
AS, SEA, ELP, 20200712, 0, 0, 205, 189
AS, SEA, ELP, 20200713, 0, 0, 205, 193
AS, SEA, ELP, 20200714, 0, 0, 205, 195
AS, SEA, ELP, 20200715, 0, 0, 205, 200
AS, SEA, ELP, 20200716, 0, 0, 205, 212
AS, SEA, ELP, 20200717, 0, 0, 205, 201
AS, SEA, ELP, 20200718, 0, 0, 205, 203
AS, SEA, ELP, 20200719, 0, 0, 205, 208
AS, SEA, ELP, 20200720, 0, 0, 205, 217
AS, SEA, ELP, 20200721, 0, 0, 205, 219
AS, SEA, ELP, 20200722, 0, 0, 205, 208
AS, SEA, ELP, 20200723, 0, 0, 205, 217
AS, SEA, ELP, 20200724, 0, 0, 205, 220
AS, SEA, ELP, 20200725, 0, 0, 205, 210
AS, SEA, ELP, 20200726, 0, 0, 205, 218
AS, SEA, ELP, 20200727, 0, 0, 205, 213
AS, SEA, ELP, 20200728, 0, 0, 205, 205
AS, SEA, ELP, 20200729, 0, 0, 205, 191
AS, SEA, ELP, 20200730, 0, 0, 205, 187
WN, DAL, ELP, 20200722, 0, 0, 95, 89
WN, DAL, ELP, 20200722, 0, 0, 100, 90
WN, DAL, ELP, 20200722, 0, 0, 95, 88
WN, HOU, ELP, 20200722, 0, 0, 100, 97
WN, LAS, ELP, 20200722, 0, 0, 100, 97
WN, PHX, ELP, 20200722, 0, 0, 70, 59
WN, PHX, ELP, 20200722, 0, 0, 75, 72
WN, PHX, ELP, 20200722, 0, 0, 65, 62
WN, DAL, ELP, 20200723, 0, 0, 100, 87
WN, DAL, ELP, 20200723, 0, 0, 95, 81
WN, DAL, ELP, 20200723, 0, 0, 95, 81
WN, HOU, ELP, 20200723, 0, 0, 100, 106
WN, LAS, ELP, 20200723, 0, 0, 100, 95
WN, DAL, ELP, 20200701, 0, 0, 95, 95
WN, DAL, ELP, 20200701, 0, 0, 100, 103
WN, DAL, ELP, 20200701, 0, 0, 95, 95
WN, DAL, ELP, 20200701, 0, 0, 100, 96
WN, LAS, ELP, 20200701, 0, 0, 100, 91
WN, PHX, ELP, 20200701, 0, 0, 70, 59
WN, PHX, ELP, 20200701, 0, 0, 75, 62
WN, PHX, ELP, 20200701, 0, 0, 65, 62
WN, DAL, ELP, 20200702, 0, 0, 100, 95
WN, DAL, ELP, 20200702, 0, 0, 95, 90
WN, DAL, ELP, 20200702, 0, 0, 95, 94
WN, DAL, ELP, 20200702, 0, 0, 100, 90
WN, LAS, ELP, 20200702, 0, 0, 100, 90
WN, PHX, ELP, 20200702, 0, 0, 70, 58
WN, PHX, ELP, 20200702, 0, 0, 75, 62
WN, PHX, ELP, 20200702, 0, 0, 65, 64
WN, DAL, ELP, 20200703, 0, 0, 100, 90
WN, DAL, ELP, 20200703, 0, 0, 95, 89
WN, DAL, ELP, 20200703, 0, 0, 95, 93
WN, DAL, ELP, 20200703, 0, 0, 85, 86
WN, DAL, ELP, 20200703, 0, 0, 95, 86
WN, LAS, ELP, 20200703, 0, 0, 100, 88
WN, PHX, ELP, 20200703, 0, 0, 70, 61
WN, PHX, ELP, 20200703, 0, 0, 75, 64
WN, PHX, ELP, 20200703, 0, 0, 65, 62
WN, PHX, ELP, 20200712, 0, 0, 70, 61
WN, PHX, ELP, 20200712, 0, 0, 75, 63
WN, PHX, ELP, 20200712, 0, 0, 65, 67
WN, DAL, ELP, 20200713, 0, 0, 100, 93
WN, DAL, ELP, 20200713, 0, 0, 95, 87
WN, DAL, ELP, 20200713, 0, 0, 95, 89
WN, HOU, ELP, 20200713, 0, 0, 100, 98
WN, LAS, ELP, 20200713, 0, 0, 100, 93
WN, PHX, ELP, 20200713, 0, 0, 70, 61
WN, PHX, ELP, 20200713, 0, 0, 75, 68
WN, PHX, ELP, 20200713, 0, 0, 65, 64
WN, DAL, ELP, 20200714, 0, 0, 95, 88
WN, DAL, ELP, 20200714, 0, 0, 100, 93
WN, DAL, ELP, 20200714, 0, 0, 95, 83
WN, HOU, ELP, 20200714, 0, 0, 100, 99
WN, LAS, ELP, 20200714, 0, 0, 100, 93
WN, PHX, ELP, 20200714, 0, 0, 70, 64
WN, PHX, ELP, 20200714, 0, 0, 75, 59
WN, PHX, ELP, 20200714, 0, 0, 65, 64
WN, DAL, ELP, 20200715, 0, 0, 95, 89
WN, DAL, ELP, 20200715, 0, 0, 100, 87
WN, DAL, ELP, 20200715, 0, 0, 95, 102
WN, PHX, ELP, 20200723, 0, 0, 70, 62
WN, PHX, ELP, 20200723, 0, 0, 75, 64
WN, PHX, ELP, 20200723, 0, 0, 65, 74
WN, DAL, ELP, 20200724, 0, 0, 100, 94
WN, DAL, ELP, 20200724, 0, 0, 95, 97
WN, DAL, ELP, 20200724, 0, 0, 95, 96
WN, HOU, ELP, 20200724, 0, 0, 100, 118
WN, LAS, ELP, 20200724, 0, 0, 100, 97
WN, PHX, ELP, 20200724, 0, 0, 70, 63
WN, PHX, ELP, 20200724, 0, 0, 75, 62
WN, PHX, ELP, 20200724, 0, 0, 65, 71
WN, DAL, ELP, 20200725, 0, 0, 100, 93
WN, DAL, ELP, 20200725, 0, 0, 95, 87
WN, DAL, ELP, 20200725, 0, 0, 95, 85
WN, HOU, ELP, 20200725, 0, 0, 100, 107
WN, LAS, ELP, 20200725, 0, 0, 100, 97
WN, PHX, ELP, 20200725, 0, 0, 70, 62
WN, PHX, ELP, 20200725, 0, 0, 75, 60
WN, PHX, ELP, 20200725, 0, 0, 65, 63
WN, DAL, ELP, 20200726, 0, 0, 100, 89
WN, DAL, ELP, 20200726, 0, 0, 95, 87
WN, DAL, ELP, 20200726, 0, 0, 95, 91
WN, HOU, ELP, 20200726, 0, 0, 100, 103
WN, LAS, ELP, 20200726, 0, 0, 100, 101
WN, DAL, ELP, 20200704, 0, 0, 100, 88
WN, DAL, ELP, 20200704, 0, 0, 95, 87
WN, DAL, ELP, 20200704, 0, 0, 95, 88
WN, DAL, ELP, 20200704, 0, 0, 95, 84
WN, LAS, ELP, 20200704, 0, 0, 100, 102
WN, PHX, ELP, 20200704, 0, 0, 70, 62
WN, PHX, ELP, 20200704, 0, 0, 65, 62
WN, DAL, ELP, 20200705, 0, 0, 100, 98
WN, DAL, ELP, 20200705, 0, 0, 95, 90
WN, DAL, ELP, 20200705, 0, 0, 95, 89
WN, HOU, ELP, 20200705, 0, 0, 100, 98
WN, LAS, ELP, 20200705, 0, 0, 100, 91
WN, PHX, ELP, 20200705, 0, 0, 70, 60
WN, PHX, ELP, 20200705, 0, 0, 75, 63
WN, PHX, ELP, 20200705, 0, 0, 65, 63
WN, DAL, ELP, 20200706, 0, 0, 100, 89
WN, DAL, ELP, 20200706, 0, 0, 95, 88
WN, DAL, ELP, 20200706, 0, 0, 95, 96
WN, HOU, ELP, 20200706, 0, 0, 100, 105
WN, LAS, ELP, 20200706, 0, 0, 100, 91
WN, PHX, ELP, 20200706, 0, 0, 70, 60
WN, PHX, ELP, 20200706, 0, 0, 75, 65
WN, PHX, ELP, 20200706, 0, 0, 65, 61
WN, HOU, ELP, 20200715, 0, 0, 100, 122
