AA, ELP, DFW, 20200321, 0, 0, 107, 119
AA, ELP, DFW, 20200322, 0, 0, 107, 97
AA, ELP, DFW, 20200323, 0, 0, 107, 0
AA, ELP, DFW, 20200324, 0, 0, 107, 94
AA, ELP, DFW, 20200325, 0, 0, 107, 89
AA, ELP, DFW, 20200326, 0, 0, 107, 0
AA, ELP, DFW, 20200327, 0, 0, 107, 0
AA, ELP, DFW, 20200328, 0, 0, 107, 0
AA, ELP, DFW, 20200329, 0, 0, 107, 109
AA, ELP, DFW, 20200330, 0, 0, 107, 0
AA, ELP, DFW, 20200331, 0, 0, 107, 0
AA, ELP, DFW, 20200301, 0, 0, 102, 107
AA, ELP, DFW, 20200302, 0, 0, 102, 91
AA, ELP, DFW, 20200303, 0, 0, 102, 87
AA, ELP, DFW, 20200304, 0, 0, 102, 113
AA, ELP, DFW, 20200305, 0, 0, 103, 99
AA, ELP, DFW, 20200306, 0, 0, 103, 100
AA, ELP, DFW, 20200307, 0, 0, 103, 98
AA, ELP, DFW, 20200308, 0, 0, 103, 108
AA, ELP, DFW, 20200309, 0, 0, 103, 96
AA, ELP, DFW, 20200310, 0, 0, 103, 99
AA, ELP, DFW, 20200311, 0, 0, 103, 102
AA, ELP, DFW, 20200312, 0, 0, 103, 107
AA, ELP, DFW, 20200313, 0, 0, 103, 104
AA, ELP, DFW, 20200314, 0, 0, 103, 110
AA, ELP, DFW, 20200315, 0, 0, 103, 97
AA, ELP, DFW, 20200316, 0, 0, 103, 105
AA, ELP, DFW, 20200317, 0, 0, 103, 97
AA, ELP, DFW, 20200318, 0, 0, 103, 110
AA, ELP, DFW, 20200319, 0, 0, 103, 104
AA, ELP, DFW, 20200320, 0, 0, 103, 90
AA, ELP, DFW, 20200321, 0, 0, 103, 96
AA, ELP, DFW, 20200322, 0, 0, 103, 97
AA, ELP, DFW, 20200323, 0, 0, 103, 98
AA, ELP, DFW, 20200324, 0, 0, 103, 85
AA, ELP, DFW, 20200325, 0, 0, 103, 0
AA, ELP, DFW, 20200326, 0, 0, 103, 93
AA, ELP, DFW, 20200327, 0, 0, 103, 0
AA, ELP, DFW, 20200328, 0, 0, 103, 0
AA, ELP, DFW, 20200329, 0, 0, 103, 90
AA, ELP, DFW, 20200330, 0, 0, 103, 92
AA, ELP, DFW, 20200331, 0, 0, 103, 86
AA, ELP, DFW, 20200301, 0, 0, 102, 109
AA, ELP, DFW, 20200302, 0, 0, 102, 92
AA, ELP, DFW, 20200303, 0, 0, 102, 88
AA, ELP, DFW, 20200304, 0, 0, 102, 111
AA, ELP, DFW, 20200305, 0, 0, 104, 125
AA, ELP, DFW, 20200306, 0, 0, 104, 108
AA, ELP, DFW, 20200307, 0, 0, 104, 99
AA, ELP, DFW, 20200308, 0, 0, 104, 112
AA, ELP, DFW, 20200309, 0, 0, 104, 106
AA, ELP, DFW, 20200310, 0, 0, 104, 111
AA, ELP, DFW, 20200311, 0, 0, 104, 94
AA, ELP, DFW, 20200312, 0, 0, 104, 106
AA, ELP, DFW, 20200313, 0, 0, 104, 104
AA, ELP, DFW, 20200314, 0, 0, 104, 102
AA, ELP, DFW, 20200315, 0, 0, 104, 115
AA, ELP, DFW, 20200316, 0, 0, 104, 0
AA, ELP, DFW, 20200317, 0, 0, 104, 102
AA, ELP, DFW, 20200318, 0, 0, 104, 102
AA, ELP, DFW, 20200319, 0, 0, 104, 96
AA, ELP, DFW, 20200320, 0, 0, 104, 83
AA, ELP, DFW, 20200321, 0, 0, 104, 97
AA, ELP, DFW, 20200322, 0, 0, 104, 100
AA, ELP, DFW, 20200323, 0, 0, 104, 0
AA, ELP, DFW, 20200324, 0, 0, 104, 0
AA, ELP, DFW, 20200325, 0, 0, 104, 0
AA, ELP, DFW, 20200326, 0, 0, 104, 90
AA, ELP, DFW, 20200327, 0, 0, 104, 99
AA, ELP, DFW, 20200328, 0, 0, 104, 88
AA, ELP, DFW, 20200329, 0, 0, 104, 0
AA, ELP, DFW, 20200330, 0, 0, 104, 98
AA, ELP, DFW, 20200331, 0, 0, 104, 0
UA, ELP, DEN, 20200331, 0, 0, 119, 0
UA, ELP, DEN, 20200331, 0, 0, 119, 0
UA, ELP, DEN, 20200331, 0, 0, 118, 110
UA, ELP, DEN, 20200330, 0, 0, 119, 0
UA, ELP, DEN, 20200330, 0, 0, 118, 100
UA, ELP, DEN, 20200330, 0, 0, 119, 118
UA, ELP, DEN, 20200329, 0, 0, 118, 113
UA, ELP, DEN, 20200329, 0, 0, 119, 100
UA, ELP, DEN, 20200328, 0, 0, 119, 106
UA, ELP, DEN, 20200328, 0, 0, 117, 109
UA, ELP, DEN, 20200327, 0, 0, 117, 110
UA, ELP, DEN, 20200327, 0, 0, 119, 0
UA, ELP, DEN, 20200326, 0, 0, 117, 0
UA, ELP, DEN, 20200326, 0, 0, 119, 95
UA, ELP, DEN, 20200325, 0, 0, 119, 0
UA, ELP, DEN, 20200325, 0, 0, 117, 0
UA, ELP, DEN, 20200324, 0, 0, 117, 0
UA, ELP, DEN, 20200324, 0, 0, 119, 107
UA, ELP, DEN, 20200323, 0, 0, 117, 0
UA, ELP, DEN, 20200306, 0, 0, 117, 116
UA, ELP, DEN, 20200306, 0, 0, 119, 110
UA, ELP, DEN, 20200305, 0, 0, 117, 116
UA, ELP, DEN, 20200305, 0, 0, 119, 109
UA, ELP, DEN, 20200304, 0, 0, 122, 121
UA, ELP, DEN, 20200303, 0, 0, 122, 115
UA, ELP, DEN, 20200302, 0, 0, 122, 125
UA, ELP, DEN, 20200301, 0, 0, 122, 107
UA, ELP, DEN, 20200323, 0, 0, 119, 0
UA, ELP, DEN, 20200322, 0, 0, 117, 107
UA, ELP, DEN, 20200321, 0, 0, 119, 113
UA, ELP, DEN, 20200321, 0, 0, 117, 114
UA, ELP, DEN, 20200320, 0, 0, 117, 132
UA, ELP, DEN, 20200320, 0, 0, 119, 128
UA, ELP, DEN, 20200319, 0, 0, 117, 0
UA, ELP, DEN, 20200319, 0, 0, 119, 0
UA, ELP, DEN, 20200318, 0, 0, 119, 98
UA, ELP, DEN, 20200318, 0, 0, 117, 125
UA, ELP, DEN, 20200317, 0, 0, 117, 108
UA, ELP, DEN, 20200317, 0, 0, 119, 103
UA, ELP, DEN, 20200316, 0, 0, 117, 124
