Autauga - Alabama,0.9790193702632066
Baldwin - Alabama,0.9325146738178743
Barbour - Alabama,0.9654302581713958
Bibb - Alabama,0.9654348679620816
Blount - Alabama,0.9712939991464657
Bullock - Alabama,0.9257099251177183
Butler - Alabama,0.8758834666616258
Calhoun - Alabama,0.9536169850301495
Chambers - Alabama,0.9390455487900069
Cherokee - Alabama,0.9631178177899562
Chilton - Alabama,0.9641497090950971
Choctaw - Alabama,0.8905627444453506
Clarke - Alabama,0.8909277517950146
Clay - Alabama,0.9568063512367939
Cleburne - Alabama,0.9214477407033979
Coffee - Alabama,0.968155212367491
Colbert - Alabama,0.9688500845953083
Conecuh - Alabama,0.9568130113376501
Coosa - Alabama,0.9637534180309528
Covington - Alabama,0.9566192677992121
Crenshaw - Alabama,0.9731465170994594
Cullman - Alabama,0.9795711067412775
Dale - Alabama,0.9781872076386513
Dallas - Alabama,0.9464250968281401
DeKalb - Alabama,0.9809789632447055
Elmore - Alabama,0.9778888952515712
Escambia - Alabama,0.9484317956820099
Etowah - Alabama,0.9723117222345746
Fayette - Alabama,0.9760021527454388
Franklin - Alabama,0.9303497248466862
Geneva - Alabama,0.9594191282685921
Greene - Alabama,0.8993370625077537
Hale - Alabama,0.9417413396225186
Henry - Alabama,0.9809103537973122
Houston - Alabama,0.9682380987037751
Jackson - Alabama,0.9728806373415064
Jefferson - Alabama,0.9750677377727818
Lamar - Alabama,0.9891585850259239
Lauderdale - Alabama,0.9825765848626448
Lawrence - Alabama,0.9537079416627483
Lee - Alabama,0.9452980907094592
Limestone - Alabama,0.9706891871235317
Lowndes - Alabama,0.8426286758881314
Macon - Alabama,0.9715274466296759
Madison - Alabama,0.96905863682244
Marengo - Alabama,0.9663866602098973
Marion - Alabama,0.9798238194807269
Marshall - Alabama,0.9518207005455512
Mobile - Alabama,0.9498755913016941
Monroe - Alabama,0.9597865513523273
Montgomery - Alabama,0.9585783577119737
Morgan - Alabama,0.9785121273204319
Out of AL - Alabama,nan
Perry - Alabama,0.9570431809646774
Pickens - Alabama,0.9858462055227138
Pike - Alabama,0.9690649175838839
Randolph - Alabama,0.9437933995241874
Russell - Alabama,0.950807676324718
Shelby - Alabama,0.9765234918063519
St. Clair - Alabama,0.9774229863461736
Sumter - Alabama,0.8842605668053941
Talladega - Alabama,0.9592203757590873
Tallapoosa - Alabama,0.9335438520350405
Tuscaloosa - Alabama,0.9633334491053076
Unassigned - Alabama,0.089690108500844
Walker - Alabama,0.9688267279165212
Washington - Alabama,0.922155908182096
Wilcox - Alabama,0.9323940777430271
Winston - Alabama,0.9702002952388278
Aleutians East - Alaska,0.8688206882802684
Aleutians West - Alaska,0.9101750839021171
Anchorage - Alaska,0.9791564377224976
Bethel - Alaska,0.8679256041861361
Bristol Bay - Alaska,nan
Bristol Bay plus Lake and Peninsula - Alaska,0.9326946305658415
Denali - Alaska,0.8418478728982874
Dillingham - Alaska,0.8024480424859999
Fairbanks North Star - Alaska,0.9623622969412643
Haines - Alaska,0.9242930398546616
Hoonah-Angoon - Alaska,nan
Juneau - Alaska,0.9790328857240256
Kenai Peninsula - Alaska,0.9865628018675887
Ketchikan Gateway - Alaska,0.906193039735668
Kodiak Island - Alaska,0.9229336662330845
Kusilvak - Alaska,0.6078956467028811
Matanuska-Susitna - Alaska,0.9813932908158053
Nome - Alaska,0.9447651498382468
North Slope - Alaska,0.8931750718465701
Northwest Arctic - Alaska,0.9221275074398843
Out of AK - Alaska,nan
Petersburg - Alaska,0.8593139375813871
Prince of Wales-Hyder - Alaska,0.8100094390811817
Sitka - Alaska,0.9446344128722468
Skagway - Alaska,0.5206066717354546
Southeast Fairbanks - Alaska,0.9367012965429484
Unassigned - Alaska,0.9616621162086253
Valdez-Cordova - Alaska,0.9654635633774712
Wrangell - Alaska,0.9352555789707003
Yakutat - Alaska,0.9450483347563073
Yukon-Koyukuk - Alaska,0.9446479591111916
 - American Samoa,nan
Apache - Arizona,0.901548522141726
Cochise - Arizona,0.9393927233869303
Coconino - Arizona,0.9550952905519028
Gila - Arizona,0.9909073787657523
Graham - Arizona,0.9861786874424184
Greenlee - Arizona,0.9495683585438783
La Paz - Arizona,0.9194094918503712
Maricopa - Arizona,0.9405070446663907
Mohave - Arizona,0.9603368028051185
Navajo - Arizona,0.907813913449895
Out of AZ - Arizona,nan
Pima - Arizona,0.9682452499865035
Pinal - Arizona,0.950261005469989
Santa Cruz - Arizona,0.8940225106108405
Unassigned - Arizona,0.11329022874655842
Yavapai - Arizona,0.9593872823542963
Yuma - Arizona,0.8911795228257959
Arkansas - Arkansas,0.973720279690145
Ashley - Arkansas,0.9560083560809073
Baxter - Arkansas,0.9106001805810873
Benton - Arkansas,0.9710682856873503
Boone - Arkansas,0.9252794334386711
Bradley - Arkansas,0.9668616917972563
Calhoun - Arkansas,0.9578463334597405
Carroll - Arkansas,0.987060902390437
Chicot - Arkansas,0.9153772651436414
Clark - Arkansas,0.950175961888663
Clay - Arkansas,0.9736072129712561
Cleburne - Arkansas,0.9728861198756272
Cleveland - Arkansas,0.9568651867319116
Columbia - Arkansas,0.9738567697908893
Conway - Arkansas,0.98600738633635
Craighead - Arkansas,0.9713737586898136
Crawford - Arkansas,0.9722224204559181
Crittenden - Arkansas,0.9683272245024926
Cross - Arkansas,0.9734708455275574
Dallas - Arkansas,0.9506341235819614
Desha - Arkansas,0.9882864427644205
Drew - Arkansas,0.9777514119882748
Faulkner - Arkansas,0.9834325359642522
Franklin - Arkansas,0.9400353475041642
Fulton - Arkansas,0.8813313363427056
